# Target Pref 演化日志

| 时间 | 生物 | 平均条目 | 最大条目 | min~max | top偏好(源→目标=均值×种群数) |
|------|------|----------|----------|---------|------------------------------|
| 10 | 50 | 0.00 | 0 | 1.00~1.00 |  |
| 20 | 79 | 1.48 | 2 | 0.68~1.30 | (15→13=0.70×3) (13→14=1.30×1) (24→13=1.30×1) (-23→-24=1.30×2) (-5→-21=0.71×1) |
| 31 | 82 | 1.57 | 2 | 0.68~1.30 | (15→13=0.70×3) (13→14=1.30×1) (24→13=1.30×1) (-23→-24=1.30×2) (-5→-21=0.71×1) |
| 41 | 105 | 2.47 | 2 | 0.67~1.30 | (15→13=0.69×3) (24→13=1.30×2) (-23→-24=1.30×5) (-5→-21=0.71×1) (-16→-31=0.71×1) |
| 51 | 105 | 2.45 | 2 | 0.67~1.30 | (15→13=0.69×3) (24→13=1.30×2) (-23→-24=1.30×4) (-5→-21=0.71×1) (-16→-31=0.71×1) |
| 61 | 113 | 2.65 | 2 | 0.67~1.30 | (15→13=0.69×3) (2→28=0.70×2) (2→14=0.70×1) (24→13=1.30×3) (-23→-24=1.30×4) |
| 71 | 116 | 2.83 | 2 | 0.67~1.30 | (15→13=0.69×3) (2→28=0.70×2) (2→14=0.70×1) (24→13=1.30×3) (-23→-24=1.30×4) |
| 81 | 122 | 2.93 | 2 | 0.67~1.30 | (15→13=0.69×3) (2→28=0.70×2) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 92 | 122 | 2.90 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 102 | 125 | 3.02 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 112 | 123 | 3.02 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 123 | 122 | 3.07 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×3) (2→14=0.70×1) (-23→-24=1.30×5) (-5→-21=0.71×2) |
| 133 | 122 | 2.93 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×2) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 143 | 118 | 2.89 | 2 | 0.67~1.30 | (2→28=0.68×1) (15→13=0.69×2) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 153 | 114 | 2.66 | 2 | 0.67~1.30 | (15→13=0.67×1) (2→28=0.68×1) (2→14=0.70×1) (-23→-24=1.30×4) (-5→-21=0.71×2) |
| 163 | 113 | 2.60 | 2 | 0.67~1.30 | (15→13=0.67×1) (2→14=0.70×1) (-23→-24=1.30×3) (-5→-21=0.71×2) (-16→-31=0.71×1) |
| 173 | 109 | 2.47 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×3) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 183 | 105 | 2.38 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×2) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 193 | 103 | 2.43 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×2) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 203 | 104 | 2.48 | 2 | 0.70~1.30 | (2→14=0.70×1) (-23→-24=1.30×2) (-5→-21=0.71×2) (-16→-31=0.71×1) (24→13=1.29×4) |
| 213 | 100 | 2.31 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×2) |
| 223 | 101 | 2.31 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×2) |
| 233 | 103 | 2.21 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×1) |
| 243 | 104 | 2.20 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×1) |
| 253 | 107 | 2.35 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×2) (-23→-24=1.30×1) |
| 263 | 108 | 2.29 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×1) (-23→-24=1.30×1) |
| 273 | 109 | 2.30 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×1) (-23→-24=1.30×1) |
| 284 | 108 | 2.29 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (2→14=0.70×1) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) |
| 294 | 107 | 2.32 | 2 | 0.70~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 304 | 109 | 2.44 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 315 | 109 | 2.50 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 325 | 108 | 2.43 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 335 | 109 | 2.50 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×1) |
| 346 | 111 | 2.51 | 2 | 0.69~1.52 | (-13→-11=1.38×2) (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×2) |
| 356 | 111 | 2.36 | 2 | 0.70~1.30 | (13→23=0.70×1) (24→13=1.30×1) (-6→-17=1.29×1) (-14→17=1.29×2) (-5→-21=0.71×2) |
